time: 2023-05-17 08:20:41, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 97.865, new_balance: 97.86, result: success
time: 2023-05-19 14:14:14, user: Test_user, service_id: 3, numbers_count: 25, cost: 0.125, old_balance: 97.86, new_balance: 97.735, result: success
time: 2023-05-25 15:23:59, user: Test_user, service_id: 3, numbers_count: 12, cost: 0.06, old_balance: 97.735, new_balance: 97.675, result: success
time: 2023-06-01 15:32:09, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 97.675, new_balance: 97.67, result: success
time: 2023-06-13 12:27:34, user: Test_user, service_id: 3, numbers_count: 6, cost: 0.03, old_balance: 97.67, new_balance: 97.64, result: success
time: 2023-07-04 17:04:24, user: Test_user, service_id: 3, numbers_count: 3, cost: 0.015, old_balance: 97.64, new_balance: 97.625, result: success
time: 2023-07-05 16:46:20, user: Test_user, service_id: 3, numbers_count: 2, cost: 0.01, old_balance: 97.625, new_balance: 97.615, result: success
time: 2023-07-05 16:48:45, user: Test_user, service_id: 3, numbers_count: 3, cost: 0.015, old_balance: 97.615, new_balance: 97.6, result: success
time: 2023-07-20 09:39:59, user: Test_user, service_id: 3, numbers_count: 6, cost: 0.03, old_balance: 97.6, new_balance: 97.57, result: success
time: 2023-07-24 13:03:05, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 97.57, new_balance: 97.565, result: success
time: 2023-08-01 17:53:58, user: Test_user, service_id: 3, numbers_count: 1030834, cost: 5154.17, old_balance: 99997.565, new_balance: 94843.395, result: success
time: 2023-08-01 17:56:46, user: Test_user, service_id: 3, numbers_count: 475047, cost: 2375.235, old_balance: 94843.395, new_balance: 92468.16, result: success
